name,parent,url
Home,Main,/index.html
Documentation,Main,/docs/current/index.html
Documentation/Installation,Main,/docs/current/tutorials/installation.html
Documentation/Intro to SQL,Main,/docs/current/tutorials/sql.html
Documentation/CSV Import,Main,/docs/current/sql/copy.html
Documentation/Python API,Main,/docs/current/python/api.html
Documentation/Data Types,Main,/docs/current/sql/types.html
Documentation/Data Types/Boolean,Data Types,/docs/current/sql/types/boolean_type.html
Documentation/Data Types/Numeric,Data Types,/docs/current/sql/types/numeric_types.html
Documentation/Data Types/Text,Data Types,/docs/current/sql/types/character_types.html
Documentation/Data Types/Date,Data Types,/docs/current/sql/types/date_type.html
Documentation/Data Types/Timestamp,Data Types,/docs/current/sql/types/timestamp_type.html
Documentation/Functions,Main,/docs/current/sql/functions.html
Documentation/Functions/Logical Functions,Functions,/docs/current/sql/functions/logical_operators.html
Documentation/Functions/Comparisons,Functions,/docs/current/sql/functions/comparison_operators.html
Documentation/Functions/Numeric Functions,Functions,/docs/current/sql/functions/numeric_functions.html
Documentation/Functions/Text Functions,Functions,/docs/current/sql/functions/character_functions.html
Documentation/Functions/Pattern Matching,Functions,/docs/current/sql/functions/regex.html
Documentation/Functions/Date Functions,Functions,/docs/current/sql/functions/date_functions.html
Documentation/Functions/Timestamp Functions,Functions,/docs/current/sql/functions/timestamp_functions.html
Documentation/Sequences,Main,/docs/current/sql/createsequence.html
Documentation/Pragmas,Main,/docs/current/sql/pragmas.html
-,Main,
Github,Main,https://github.com/cwida/duckdb
Internals,Main,/docs/current/internals/overview.html
Contributing,Main,https://github.com/cwida/duckdb/blob/master/CONTRIBUTING.md
-,Main,
Benchmarking,Main,/benchmarks/index.html